kind,relative_path,target_path,size_bytes,sha256,reason,status
quarantine_demo_session,outputs\full_image_multilabel_gradio_demo\sessions\20260721T160115072410Z_02fe83cb,_cleanup_quarantine\20260721T184813963710Z\outputs\full_image_multilabel_gradio_demo\sessions\20260721T160115072410Z_02fe83cb,8872,,older non-smoke demo session; keep latest 3,quarantined
quarantine_demo_session,outputs\full_image_multilabel_gradio_demo\sessions\20260721T160053026741Z_b579a6b4,_cleanup_quarantine\20260721T184813963710Z\outputs\full_image_multilabel_gradio_demo\sessions\20260721T160053026741Z_b579a6b4,9256,,older non-smoke demo session; keep latest 3,quarantined
quarantine_demo_session,outputs\full_image_multilabel_gradio_demo\sessions\20260721T160018617622Z_c9983241,_cleanup_quarantine\20260721T184813963710Z\outputs\full_image_multilabel_gradio_demo\sessions\20260721T160018617622Z_c9983241,8665,,older non-smoke demo session; keep latest 3,quarantined
quarantine_demo_session,outputs\full_image_multilabel_gradio_demo\sessions\20260721T152330337349Z_a2defe2a,_cleanup_quarantine\20260721T184813963710Z\outputs\full_image_multilabel_gradio_demo\sessions\20260721T152330337349Z_a2defe2a,10902,,older non-smoke demo session; keep latest 3,quarantined
quarantine_demo_session,outputs\full_image_multilabel_gradio_demo\sessions\20260721T152003656330Z_6ae70e65,_cleanup_quarantine\20260721T184813963710Z\outputs\full_image_multilabel_gradio_demo\sessions\20260721T152003656330Z_6ae70e65,8711,,older non-smoke demo session; keep latest 3,quarantined
quarantine_demo_session,outputs\full_image_multilabel_gradio_demo\sessions\20260721T151324848210Z_3114b891,_cleanup_quarantine\20260721T184813963710Z\outputs\full_image_multilabel_gradio_demo\sessions\20260721T151324848210Z_3114b891,8969,,older non-smoke demo session; keep latest 3,quarantined
quarantine_demo_session,outputs\full_image_multilabel_gradio_demo\sessions\20260721T151221538949Z_b76b9e75,_cleanup_quarantine\20260721T184813963710Z\outputs\full_image_multilabel_gradio_demo\sessions\20260721T151221538949Z_b76b9e75,8809,,older non-smoke demo session; keep latest 3,quarantined
quarantine_backup_file,app_full_image_multilabel_ollama_gradio_before_exact_layout.py,_cleanup_quarantine\20260721T184813963710Z\app_full_image_multilabel_ollama_gradio_before_exact_layout.py,89445,4a0548135440b25f7507473e7de0fdeb4df16525a521e14af9233f0cdde36d48,backup/copy/temp filename pattern,quarantined
quarantine_backup_file,app_full_image_multilabel_ollama_gradio_before_redesign.py,_cleanup_quarantine\20260721T184813963710Z\app_full_image_multilabel_ollama_gradio_before_redesign.py,89768,1616d31eb3e65e655ed29cc0f61ddcd544f11de0e2d9125ef9150526205cf1ae,backup/copy/temp filename pattern,quarantined
quarantine_backup_file,app_full_image_multilabel_ollama_gradio_fixed.py.py,_cleanup_quarantine\20260721T184813963710Z\app_full_image_multilabel_ollama_gradio_fixed.py.py,181838,26f091b1a788884be8225b74887420ae93edf1aea30973bae3d25a7f04358a56,backup/copy/temp filename pattern,quarantined
quarantine_old_log,outputs\full_image_multilabel_gradio_demo\ui_test_ollama_unavailable\app_startup_audit.json,_cleanup_quarantine\20260721T184813963710Z\outputs\full_image_multilabel_gradio_demo\ui_test_ollama_unavailable\app_startup_audit.json,7029,df3b66d0673963bd8f70a3863a1bdb4071569dcfff2da0d9955feb21f34366de,old duplicate app_startup_audit.json; keep newest,quarantined
quarantine_old_log,outputs\patch_roi_ollama_gradio_demo\logs\app_startup_audit.json,_cleanup_quarantine\20260721T184813963710Z\outputs\patch_roi_ollama_gradio_demo\logs\app_startup_audit.json,4611,76612330a792eeea94c6f96b0b0ffe71b9101d33b3a67a95d069b5ec99ac43be,old duplicate app_startup_audit.json; keep newest,quarantined
quarantine_old_log,outputs\full_image_multilabel_gradio_demo\ui_error.log,_cleanup_quarantine\20260721T184813963710Z\outputs\full_image_multilabel_gradio_demo\ui_error.log,6941,c9cd8931175b7494ac2c9a9866e4addd88f606abfabeeafc12d090abf7fe05e3,old duplicate ui_error.log; keep newest,quarantined
delete_empty_dir,outputs\sanity_checks,,0,,safe empty directory outside protected structures,deleted
